municipio,"pessoas_de_10_anos_ou_mais_de_idade,_por_sexo___total","pessoas_de_10_anos_ou_mais_de_idade,_por_sexo___homens","pessoas_de_10_anos_ou_mais_de_idade,_por_sexo___mulheres","pessoas_de_10_anos_ou_mais_de_idade,_economicamente_ativas_na_semana_de_referencia,_por_sexo___total","pessoas_de_10_anos_ou_mais_de_idade,_economicamente_ativas_na_semana_de_referencia,_por_sexo___homens","pessoas_de_10_anos_ou_mais_de_idade,_economicamente_ativas_na_semana_de_referencia,_por_sexo___mulheres","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_sexo___total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_sexo___homens","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_sexo___mulheres",codigo
Carpina,51710.0,24539.0,27171.0,24831.0,15419.0,9413.0,18133.0,11823.0,6310.0,2604007.0
Caruaru,204112.0,95284.0,108828.0,113350.0,66150.0,47200.0,99033.0,58888.0,40145.0,2604106.0
Casinhas,10284.0,4995.0,5289.0,5141.0,3081.0,2060.0,4813.0,2901.0,1912.0,2604155.0
Catende,24369.0,11720.0,12649.0,9786.0,6168.0,3618.0,7241.0,4887.0,2354.0,2604205.0
Cedro,7234.0,3569.0,3665.0,3536.0,2409.0,1127.0,3222.0,2236.0,985.0,2604304.0
Cha de Alegria,8558.0,4215.0,4343.0,3450.0,2289.0,1161.0,2696.0,1831.0,865.0,2604403.0
Cha Grande,14861.0,7605.0,7256.0,7441.0,4914.0,2527.0,6432.0,4426.0,2006.0,2604502.0
Condado,17014.0,8472.0,8542.0,7357.0,5045.0,2312.0,5700.0,3864.0,1837.0,2604601.0
Correntes,13223.0,6412.0,6811.0,7490.0,4539.0,2951.0,6828.0,4319.0,2509.0,2604700.0
Cortes,9691.0,4789.0,4902.0,4083.0,2763.0,1320.0,3167.0,2238.0,928.0,2604809.0
Cumaru,22183.0,11299.0,10884.0,8984.0,5944.0,3040.0,7237.0,4869.0,2368.0,2604908.0
Cupira,17665.0,8296.0,9369.0,8900.0,5229.0,3671.0,7899.0,4691.0,3208.0,2605004.0
Custodia,24388.0,11996.0,12392.0,11931.0,7720.0,4211.0,9538.0,6285.0,3252.0,2605103.0
Dormentes,11117.0,5689.0,5428.0,7326.0,4463.0,2864.0,7149.0,4378.0,2771.0,2605152.0
Escada,44990.0,21989.0,23001.0,18967.0,12316.0,6651.0,13834.0,9388.0,4446.0,2605202.0
Exu,24689.0,12147.0,12542.0,11886.0,8115.0,3771.0,10752.0,7514.0,3238.0,2605301.0
Feira Nova,14912.0,7242.0,7670.0,8218.0,4995.0,3223.0,7341.0,4498.0,2843.0,2605400.0
Fernando de Noronha,1655.0,878.0,777.0,1175.0,639.0,536.0,1158.0,633.0,525.0,2605459.0
Ferreiros,8567.0,4278.0,4289.0,3810.0,2606.0,1204.0,3037.0,2063.0,975.0,2605509.0
Flores,16683.0,8172.0,8511.0,8537.0,5621.0,2916.0,7923.0,5339.0,2585.0,2605608.0
Floresta,18830.0,9084.0,9746.0,10011.0,5990.0,4020.0,8016.0,5037.0,2979.0,2605707.0
Frei Miguelinho,10678.0,5150.0,5528.0,4423.0,2864.0,1559.0,4115.0,2676.0,1439.0,2605806.0
Gameleira,18341.0,9212.0,9129.0,7086.0,4826.0,2260.0,5433.0,3868.0,1565.0,2605905.0
Garanhuns,93618.0,43462.0,50156.0,49757.0,29241.0,20516.0,41270.0,24641.0,16628.0,2606002.0
Gloria do Goita,21438.0,10509.0,10929.0,12174.0,7558.0,4616.0,10838.0,6922.0,3916.0,2606101.0
Goiana,56717.0,27711.0,29006.0,26741.0,17212.0,9529.0,20977.0,13652.0,7326.0,2606200.0
Granito,4716.0,2330.0,2386.0,1395.0,890.0,504.0,1198.0,791.0,407.0,2606309.0
Gravata,54078.0,25917.0,28161.0,27773.0,17695.0,10078.0,22674.0,14996.0,7678.0,2606408.0
Iati,13298.0,6619.0,6679.0,8169.0,5031.0,3137.0,7565.0,4857.0,2708.0,2606507.0
Ibimirim,18236.0,8928.0,9308.0,8143.0,5032.0,3111.0,6666.0,4305.0,2361.0,2606606.0
Ibirajuba,5889.0,2973.0,2916.0,3070.0,1865.0,1205.0,2630.0,1656.0,974.0,2606705.0
Igarassu,65479.0,31700.0,33779.0,30167.0,19354.0,10813.0,21064.0,14241.0,6823.0,2606804.0
Iguaraci,9349.0,4601.0,4748.0,4768.0,3276.0,1492.0,4305.0,3072.0,1233.0,2606903.0
Ilha de Itamaraca,12852.0,7108.0,5744.0,5570.0,3642.0,1928.0,4532.0,3030.0,1503.0,2607604.0
Inaja,9811.0,4848.0,4963.0,4493.0,2888.0,1605.0,4166.0,2672.0,1494.0,2607000.0
Ingazeira,3589.0,1800.0,1789.0,2234.0,1441.0,793.0,2105.0,1397.0,708.0,2607109.0
Ipojuca,45450.0,22479.0,22971.0,20695.0,13773.0,6921.0,15426.0,10758.0,4668.0,2607208.0
Ipubi,17359.0,8482.0,8877.0,8121.0,5358.0,2764.0,6912.0,4712.0,2200.0,2607307.0
Itacuruba,2851.0,1354.0,1497.0,1468.0,814.0,654.0,1051.0,595.0,456.0,2607406.0
Itaiba,20085.0,10033.0,10052.0,10746.0,7404.0,3342.0,10210.0,7147.0,3063.0,2607505.0
Itambe,27087.0,13466.0,13621.0,10796.0,7551.0,3245.0,8708.0,6143.0,2565.0,2607653.0
Itapetim,12219.0,6030.0,6189.0,6493.0,4171.0,2321.0,6123.0,3919.0,2205.0,2607703.0
Itapissuma,15597.0,7530.0,8067.0,7767.0,4693.0,3074.0,6238.0,3998.0,2240.0,2607752.0
Itaquitinga,11659.0,5844.0,5815.0,4818.0,3418.0,1401.0,3858.0,2678.0,1180.0,2607802.0
Jaboatao dos Guararapes,470423.0,221775.0,248648.0,247319.0,145115.0,102205.0,185262.0,115112.0,70150.0,2607901.0
Jaqueira,8745.0,4364.0,4381.0,3452.0,2284.0,1167.0,2212.0,1503.0,709.0,2607950.0
Jatauba,11102.0,5479.0,5623.0,7154.0,3950.0,3204.0,6879.0,3770.0,3109.0,2608008.0
Jatoba,10435.0,5119.0,5316.0,4438.0,2832.0,1606.0,3298.0,2158.0,1140.0,2608057.0
Joao Alfredo,21752.0,10410.0,11342.0,10131.0,6138.0,3993.0,9292.0,5658.0,3634.0,2608107.0
Joaquim Nabuco,12086.0,6058.0,6028.0,4082.0,3039.0,1043.0,3415.0,2573.0,842.0,2608206.0
Jucati,7491.0,3667.0,3824.0,4204.0,2607.0,1597.0,4078.0,2554.0,1524.0,2608255.0
Jupi,9484.0,4538.0,4946.0,6017.0,3468.0,2549.0,5729.0,3346.0,2383.0,2608305.0
Jurema,10487.0,5174.0,5313.0,5850.0,3490.0,2359.0,5595.0,3345.0,2250.0,2608404.0
Lagoa do Carro,10435.0,5185.0,5250.0,5076.0,3339.0,1737.0,4375.0,2908.0,1467.0,2608453.0
Lagoa do Itaenga,15601.0,7631.0,7970.0,6939.0,4506.0,2432.0,5897.0,3899.0,1999.0,2608503.0
Lagoa do Ouro,8712.0,4477.0,4235.0,5798.0,3448.0,2350.0,5461.0,3376.0,2084.0,2608602.0
Lagoa dos Gatos,12281.0,6104.0,6177.0,6488.0,4201.0,2286.0,6000.0,3972.0,2029.0,2608701.0
Lagoa Grande,14253.0,7220.0,7033.0,7485.0,4728.0,2756.0,6616.0,4384.0,2232.0,2608750.0
Lajedo,25783.0,12203.0,13580.0,14845.0,8706.0,6139.0,13034.0,7854.0,5180.0,2608800.0
Limoeiro,45664.0,21414.0,24250.0,22474.0,13439.0,9034.0,18425.0,11119.0,7306.0,2608909.0
Macaparana,17524.0,8466.0,9058.0,7858.0,4982.0,2876.0,6326.0,3983.0,2343.0,2609006.0
Machados,7680.0,3662.0,4018.0,3944.0,2457.0,1487.0,3501.0,2252.0,1249.0,2609105.0
Manari,9201.0,4532.0,4669.0,6657.0,3821.0,2836.0,6540.0,3769.0,2771.0,2609154.0
Maraial,10662.0,5579.0,5084.0,4016.0,3024.0,992.0,3240.0,2532.0,707.0,2609204.0
Mirandiba,10011.0,4933.0,5078.0,4801.0,3030.0,1770.0,4355.0,2837.0,1518.0,2609303.0
Moreilandia,8670.0,4333.0,4337.0,3842.0,2523.0,1319.0,3711.0,2481.0,1230.0,2614303.0
Moreno,39752.0,19321.0,20431.0,16871.0,11169.0,5702.0,12714.0,8843.0,3871.0,2609402.0
Nazare da Mata,23925.0,11548.0,12377.0,10474.0,6434.0,4041.0,7426.0,4781.0,2645.0,2609501.0
Olinda,304695.0,140038.0,164657.0,162515.0,89556.0,72959.0,123452.0,70424.0,53028.0,2609600.0
Orobo,17513.0,8406.0,9107.0,9243.0,5395.0,3848.0,8566.0,5036.0,3530.0,2609709.0
Oroco,8088.0,4049.0,4039.0,4420.0,2813.0,1607.0,4065.0,2654.0,1410.0,2609808.0
Ouricuri,42963.0,21179.0,21784.0,19480.0,12513.0,6966.0,16523.0,11019.0,5504.0,2609907.0
Palmares,43622.0,20752.0,22870.0,18958.0,11936.0,7023.0,14400.0,9264.0,5136.0,2610004.0
Palmeirina,7436.0,3660.0,3776.0,3704.0,2310.0,1394.0,3408.0,2145.0,1262.0,2610103.0
Panelas,19823.0,9774.0,10049.0,11857.0,7016.0,4841.0,11126.0,6686.0,4440.0,2610202.0
Paranatama,8491.0,4240.0,4251.0,4714.0,2891.0,1823.0,4625.0,2844.0,1781.0,2610301.0
Parnamirim,14886.0,7507.0,7379.0,6399.0,4415.0,1983.0,5796.0,4019.0,1777.0,2610400.0
Passira,23234.0,11385.0,11849.0,11486.0,6945.0,4540.0,10422.0,6245.0,4177.0,2610509.0
Paudalho,35069.0,17213.0,17856.0,16430.0,10752.0,5678.0,12101.0,8352.0,3749.0,2610608.0
Paulista,216747.0,101849.0,114898.0,114495.0,65199.0,49296.0,86430.0,51841.0,34589.0,2610707.0
Pedra,15691.0,7893.0,7798.0,8205.0,5480.0,2725.0,7628.0,5144.0,2484.0,2610806.0
Pesqueira,46035.0,21946.0,24089.0,25359.0,14602.0,10758.0,21749.0,12700.0,9049.0,2610905.0
Petrolandia,21163.0,10403.0,10760.0,11154.0,7154.0,4000.0,9030.0,6012.0,3018.0,2611002.0
Petrolina,169871.0,81777.0,88094.0,92663.0,55744.0,36919.0,76279.0,47884.0,28395.0,2611101.0
Pocao,8660.0,4093.0,4567.0,6584.0,3204.0,3380.0,6346.0,3016.0,3330.0,2611200.0
Pombos,18952.0,9307.0,9645.0,9666.0,6103.0,3563.0,8669.0,5573.0,3096.0,2611309.0
Primavera,8828.0,4561.0,4267.0,3799.0,2721.0,1079.0,3017.0,2219.0,798.0,2611408.0
Quipapa,17693.0,8723.0,8970.0,6724.0,4644.0,2079.0,5578.0,4009.0,1569.0,2611507.0
Quixaba,5246.0,2632.0,2614.0,2795.0,1866.0,930.0,2635.0,1786.0,850.0,2611533.0
Recife,1183444.0,539479.0,643965.0,648965.0,351657.0,297308.0,510090.0,287267.0,222824.0,2611606.0
Riacho das Almas,14423.0,7064.0,7359.0,7306.0,4649.0,2657.0,6637.0,4413.0,2224.0,2611705.0
Ribeirao,32767.0,15857.0,16910.0,13918.0,9264.0,4654.0,9873.0,6940.0,2933.0,2611804.0
Rio Formoso,15869.0,8049.0,7820.0,6810.0,4591.0,2219.0,5020.0,3669.0,1350.0,2611903.0
Saire,10824.0,5373.0,5451.0,5655.0,3804.0,1851.0,5153.0,3533.0,1620.0,2612000.0
Salgadinho,5793.0,2869.0,2924.0,3193.0,1869.0,1324.0,2987.0,1790.0,1197.0,2612109.0
Salgueiro,40627.0,19370.0,21257.0,19172.0,11631.0,7541.0,15264.0,9485.0,5779.0,2612208.0
Saloa,11766.0,5715.0,6051.0,6552.0,4113.0,2439.0,6287.0,4002.0,2286.0,2612307.0
Sanharo,12473.0,6081.0,6392.0,7591.0,4622.0,2969.0,6844.0,4218.0,2626.0,2612406.0
Santa Cruz,8551.0,4339.0,4212.0,3280.0,2147.0,1133.0,2646.0,1737.0,909.0,2612455.0
Santa Cruz da Baixa Verde,8694.0,4300.0,4394.0,4367.0,2872.0,1496.0,4086.0,2713.0,1373.0,2612471.0
Santa Cruz do Capibaribe,46403.0,21886.0,24517.0,32591.0,17367.0,15224.0,30988.0,16501.0,14487.0,2612505.0
Santa Filomena,9185.0,4686.0,4499.0,3679.0,2502.0,1177.0,3445.0,2366.0,1079.0,2612554.0
Santa Maria da Boa Vista,27498.0,13937.0,13561.0,16644.0,10231.0,6413.0,15164.0,9556.0,5608.0,2612604.0
Santa Maria do Cambuca,9057.0,4410.0,4647.0,5067.0,2983.0,2084.0,4819.0,2854.0,1966.0,2612703.0
Santa Terezinha,8106.0,3927.0,4179.0,4347.0,2820.0,1527.0,4021.0,2621.0,1400.0,2612802.0
Sao Benedito do Sul,7974.0,3986.0,3988.0,2613.0,1918.0,695.0,2330.0,1736.0,593.0,2612901.0
Sao Bento do Una,34776.0,17186.0,17590.0,17078.0,11277.0,5800.0,15578.0,10376.0,5202.0,2613008.0
Sao Caitano,26058.0,12667.0,13391.0,14138.0,8835.0,5303.0,11946.0,7701.0,4245.0,2613107.0
Sao Joao,15394.0,7690.0,7703.0,8850.0,5671.0,3179.0,8286.0,5379.0,2907.0,2613206.0
Sao Joaquim do Monte,15492.0,7634.0,7858.0,8886.0,5426.0,3460.0,7680.0,4897.0,2783.0,2613305.0
Sao Jose da Coroa Grande,10554.0,5198.0,5356.0,4501.0,2888.0,1614.0,3078.0,2094.0,984.0,2613404.0
Sao Jose do Belmonte,24706.0,12177.0,12529.0,11322.0,7508.0,3814.0,9812.0,6698.0,3114.0,2613503.0
Sao Jose do Egito,23800.0,11518.0,12282.0,12669.0,7696.0,4973.0,11074.0,6934.0,4140.0,2613602.0
Sao Lourenco da Mata,72142.0,34977.0,37165.0,34100.0,20848.0,13252.0,26034.0,16533.0,9501.0,2613701.0
Sao Vicente Ferrer,12095.0,5955.0,6140.0,5272.0,3650.0,1622.0,4439.0,3068.0,1371.0,2613800.0
Serra Talhada,56659.0,26649.0,30010.0,29188.0,18092.0,11096.0,25455.0,16563.0,8892.0,2613909.0
Serrita,13528.0,6737.0,6791.0,7096.0,4740.0,2356.0,6138.0,4357.0,1781.0,2614006.0
Sertania,25443.0,12235.0,13208.0,10599.0,6896.0,3703.0,8249.0,5642.0,2607.0,2614105.0
Sirinhaem,25113.0,12692.0,12421.0,9854.0,6966.0,2889.0,7724.0,5647.0,2077.0,2614204.0
Solidao,4220.0,2112.0,2108.0,2313.0,1498.0,816.0,2182.0,1428.0,753.0,2614402.0
Surubim,40471.0,19177.0,21294.0,21486.0,12803.0,8683.0,18713.0,11323.0,7391.0,2614501.0
Tabira,19144.0,9348.0,9796.0,10721.0,6807.0,3914.0,9719.0,6286.0,3434.0,2614600.0
Tacaimbo,10405.0,5033.0,5373.0,5302.0,3292.0,2011.0,4968.0,3055.0,1913.0,2614709.0
Tacaratu,13088.0,6524.0,6564.0,7014.0,4170.0,2844.0,6383.0,3791.0,2592.0,2614808.0
Tamandare,12970.0,6713.0,6257.0,5896.0,3899.0,1997.0,4193.0,2938.0,1255.0,2614857.0
Taquaritinga do Norte,15554.0,7675.0,7879.0,8423.0,4993.0,3430.0,7687.0,4580.0,3107.0,2615003.0
Terezinha,4925.0,2364.0,2561.0,2468.0,1520.0,948.0,2134.0,1439.0,694.0,2615102.0
Terra Nova,5918.0,2979.0,2939.0,3635.0,2298.0,1337.0,3393.0,2181.0,1211.0,2615201.0
Timbauba,44883.0,21457.0,23426.0,22149.0,14060.0,8089.0,17651.0,11456.0,6195.0,2615300.0
Toritama,16794.0,8179.0,8615.0,10539.0,6255.0,4284.0,10296.0,6109.0,4188.0,2615409.0
Tracunhaem,9897.0,4937.0,4960.0,4334.0,2894.0,1440.0,3571.0,2398.0,1174.0,2615508.0
Trindade,16561.0,8045.0,8516.0,8389.0,5409.0,2980.0,6941.0,4705.0,2236.0,2615607.0
Triunfo,12383.0,5725.0,6657.0,6144.0,3713.0,2431.0,5575.0,3427.0,2147.0,2615706.0
Tupanatinga,15340.0,7530.0,7810.0,7945.0,4918.0,3026.0,7414.0,4637.0,2777.0,2615805.0
Tuparetama,6358.0,3079.0,3279.0,2890.0,1731.0,1160.0,2398.0,1467.0,931.0,2615904.0
Venturosa,10673.0,5199.0,5474.0,4980.0,3277.0,1704.0,4422.0,2979.0,1443.0,2616001.0
Verdejante,6801.0,3340.0,3461.0,2528.0,1721.0,806.0,2374.0,1629.0,745.0,2616100.0
Vertente do Lerio,6608.0,3207.0,3401.0,3066.0,1966.0,1100.0,2952.0,1882.0,1070.0,2616183.0
Vertentes,11996.0,5803.0,6193.0,5459.0,3368.0,2091.0,4984.0,3066.0,1918.0,2616209.0
Vicencia,22193.0,11081.0,11112.0,8825.0,6138.0,2687.0,7375.0,5261.0,2114.0,2616308.0
Vitoria de Santo Antao,94494.0,45287.0,49207.0,46321.0,29855.0,16465.0,37466.0,25299.0,12167.0,2616407.0
Xexeu,10089.0,5081.0,5008.0,3874.0,2616.0,1257.0,3021.0,2089.0,931.0,2616506.0
