municipio,alfabetizados,taxa_alfabetizacao,pop_10_a_14_anos,pop_10_a_14_anos_alfabetizadas,pop_10_a_14_anos_taxa_alfabetizacao,pop_10_a_19_anos,pop_10_a_19_anos_alfabetizadas,pop_10_a_19_anos_taxa_alfabetizacao,pop_20_anos_ou_mais,pop_20_anos_ou_mais_alfabetizadas,pop_20_anos_ou_mais_taxa_alfabetizacao,codigo_unidade_geografica
Brejinho,  3 778,65,4,955,796,83,4,870,720,82,8,  3 948
Brejo da Madre de Deus,  17 242,59,4,  4 487,  3 191,71,1,  4 162,  3 024,72,7,  20 361
Buenos Aires,  6 650,69,0,  1 374,  1 202,87,5,  1 604,  1 453,90,6,  6 663
Buíque,  18 727,55,5,  6 054,  4 089,67,5,  5 694,  4 243,74,5,  21 971
Cabo de Santo Agostinho,  100 857,82,7,  16 420,  15 033,91,6,  17 850,  16 838,94,3,  87 701
Cabrobó,  14 640,71,6,  3 177,  2 641,83,1,  3 077,  2 738,89,0,  14 189
Cachoeirinha,  8 852,64,7,  1 918,  1 677,87,4,  1 932,  1 705,88,3,  9 838
Caetés,  10 221,55,9,  3 206,  2 386,74,4,  2 952,  2 312,78,3,  12 118
Calçado,  5 883,65,0,  1 436,  1 219,84,9,  1 352,  1 198,88,6,  6 257
Calumbi,  3 572,64,3,935,751,80,3,848,720,84,9,  3 772
Camaragibe,  89 991,86,1,  12 564,  11 910,94,8,  13 404,  12 752,95,1,  78 574
Camocim de São Félix,  7 655,64,1,  1 630,  1 451,89,0,  1 694,  1 480,87,4,  8 613
Camutanga,  4 184,67,6,895,785,87,7,929,807,86,9,  4 367
Canhotinho,  11 702,60,0,  2 928,  2 180,74,5,  2 967,  2 461,82,9,  13 615
Capoeiras,  9 643,64,1,  2 628,  2 064,78,5,  2 330,  2 020,86,7,  10 077
Carnaíba,  9 836,70,9,  2 252,  2 089,92,8,  2 057,  1 879,91,3,  9 568
Carnaubeira da Penha,  4 671,61,7,  1 443,  1 080,74,8,  1 164,987,84,8,  4 964
Carpina,  41 494,80,2,  6 538,  6 055,92,6,  7 004,  6 608,94,3,  38 168
Caruaru,  163 316,80,0,  26 439,  23 177,87,7,  26 238,  23 819,90,8,  151 435
Casinhas,  6 665,64,8,  1 716,  1 442,84,0,  1 697,  1 457,85,9,  6 871
Catende,  17 412,71,5,  3 824,  3 454,90,3,  3 620,  3 166,87,5,  16 925
Cedro,  5 227,72,3,  1 356,  1 186,87,5,  1 023,954,93,3,  4 855
Chã de Alegria,  5 937,69,4,  1 379,  1 122,81,4,  1 415,  1 251,88,4,  5 764
Chã Grande,  9 569,64,4,  2 317,  1 931,83,3,  2 153,  1 834,85,2,  10 391
Condado,  11 980,70,4,  2 241,  1 838,82,0,  2 555,  2 226,87,1,  12 218
Correntes,  8 306,62,8,  2 148,  1 622,75,5,  2 118,  1 814,85,6,  8 957
Cortês,  6 634,68,5,  1 580,  1 369,86,6,  1 673,  1 432,85,6,  6 438
Cumaru,  14 400,64,9,  3 051,  2 809,92,1,  3 304,  2 899,87,7,  15 828
Cupira,  10 755,60,9,  2 381,  1 772,74,4,  2 562,  2 177,85,0,  12 722
Custódia,  16 512,67,7,  3 650,  2 932,80,3,  3 528,  2 954,83,7,  17 210
Dormentes,  7 565,68,0,  1 887,  1 569,83,1,  1 629,  1 511,92,8,  7 601
Escada,  32 676,72,6,  6 694,  5 690,85,0,  6 758,  6 008,88,9,  31 538
Exu,  16 597,67,2,  4 431,  3 583,80,9,  3 766,  3 338,88,6,  16 492
Feira Nova,  9 928,66,6,  2 240,  2 114,94,4,  2 215,  1 973,89,1,  10 457
Fernando de Noronha,  1 586,95,8,243,243,100,0,160,160,100,0,  1 252
Ferreiros,  6 127,71,5,  1 179,  1 103,93,6,  1 327,  1 171,88,2,  6 061
Flores,  11 291,67,7,  2 569,  2 379,92,6,  2 375,  2 172,91,5,  11 739
Floresta,  14 714,78,1,  2 962,  2 589,87,4,  2 785,  2 517,90,4,  13 083
Frei Miguelinho,  6 853,64,2,  1 428,  1 249,87,5,  1 458,  1 295,88,8,  7 792
Gameleira,  12 030,65,6,  2 933,  2 457,83,8,  3 023,  2 591,85,7,  12 385
Garanhuns,  74 320,79,4,  13 184,  11 745,89,1,  13 163,  12 072,91,7,  67 271
Glória do Goitá,  13 838,64,5,  3 470,  2 861,82,4,  3 432,  2 994,87,2,  14 536
Goiana,  43 855,77,3,  7 659,  6 609,86,3,  8 062,  7 181,89,1,  40 996
Granito,  3 055,64,8,844,699,82,8,682,577,84,6,  3 190
Gravatá,  39 441,72,9,  7 148,  6 201,86,8,  7 417,  6 604,89,0,  39 513
Iati,  7 068,53,2,  2 328,  1 592,68,4,  2 053,  1 636,79,7,  8 917
Ibimirim,  11 375,62,4,  3 404,  2 607,76,6,  2 908,  2 345,80,6,  11 924
Ibirajuba,  3 564,60,5,909,723,79,5,824,663,80,5,  4 156
Igarassu,  54 490,83,2,  8 823,  8 121,92,0,  8 970,  8 593,95,8,  47 686
Iguaraci,  6 518,69,7,  1 522,  1 371,90,1,  1 333,  1 173,88,0,  6 493
Ilha de Itamaracá,  10 782,83,9,  1 541,  1 412,91,6,  1 524,  1 473,96,7,  9 787
Inajá,  5 793,59,0,  1 828,  1 213,66,4,  1 556,  1 213,78,0,  6 427
Ingazeira,  2 531,70,5,551,493,89,5,500,453,90,6,  2 538
Ipojuca,  32 882,72,3,  6 739,  5 556,82,4,  7 094,  6 251,88,1,  31 617
Ipubi,  11 093,63,9,  3 086,  2 466,79,9,  2 681,  2 284,85,2,  11 592
Itacuruba,  2 196,77,0,438,369,84,2,441,389,88,2,  1 972
Itaíba,  10 777,53,7,  3 462,  2 282,65,9,  3 010,  2 215,73,6,  13 613
Itambé,  17 423,64,3,  4 112,  3 301,80,3,  4 368,  3 808,87,2,  18 607
Itapetim,  9 197,75,3,  1 895,  1 759,92,8,  1 759,  1 603,91,1,  8 565
Itapissuma,  12 007,77,0,  2 292,  2 063,90,0,  2 307,  2 095,90,8,  10 998
Itaquitinga,  8 139,69,8,  1 758,  1 420,80,8,  1 852,  1 633,88,2,  8 049
Jaboatão dos Guararapes,  416 382,88,5,  58 444,  53 828,92,1,  61 806,  58 758,95,1,  350 173
Jaqueira,  5 776,66,0,  1 591,  1 403,88,2,  1 501,  1 349,89,9,  5 653
Jataúba,  6 805,61,3,  1 728,  1 468,85,0,  1 512,  1 271,84,1,  7 862
Jatobá,  8 342,79,9,  1 671,  1 478,88,5,  1 591,  1 475,92,7,  7 173
João Alfredo,  13 191,60,6,  3 110,  2 531,81,4,  3 431,  2 800,81,6,  15 210
Joaquim Nabuco,  7 983,66,1,  2 088,  1 712,82,0,  2 009,  1 643,81,8,  7 989
Jucati,  4 626,61,8,  1 150,858,74,6,  1 158,944,81,5,  5 183
Jupi,  6 110,64,4,  1 500,  1 273,84,9,  1 409,  1 199,85,1,  6 575
Jurema,  5 672,54,1,  1 612,  1 190,73,8,  1 589,  1 265,79,6,  7 286
Lagoa do Carro,  7 849,75,2,  1 402,  1 256,89,6,  1 526,  1 448,94,9,  7 507
Lagoa do Itaenga,  10 911,69,9,  2 439,  1 963,80,5,  2 544,  2 237,87,9,  10 618
Lagoa do Ouro,  5 231,60,0,  1 423,  1 044,73,4,  1 383,  1 104,79,8,  5 906
Lagoa dos Gatos,  6 518,53,1,  1 997,  1 481,74,2,  1 716,  1 364,79,5,  8 568
Lagoa Grande,  10 077,70,7,  2 512,  2 100,83,6,  2 175,  1 921,88,3,  9 566
Lajedo,  18 404,71,4,  3 632,  3 097,85,3,  3 724,  3 281,88,1,  18 427
Limoeiro,  35 273,77,2,  5 885,  5 516,93,7,  6 256,  5 859,93,7,  33 523
Macaparana,  11 629,66,4,  2 763,  2 447,88,6,  2 730,  2 343,85,8,  12 031
Machados,  4 978,64,8,  1 230,  1 003,81,5,  1 224,  1 056,86,3,  5 226
Manari,  4 461,48,5,  1 862,  1 197,64,3,  1 495,  1 033,69,1,  5 844
Maraial,  6 805,63,8,  1 923,  1 631,84,8,  1 918,  1 642,85,6,  6 822
Mirandiba,  7 211,72,0,  1 785,  1 503,84,2,  1 557,  1 414,90,8,  6 669
Moreilândia,  6 064,69,9,  1 434,  1 319,92,0,  1 349,  1 258,93,3,  5 887
Moreno,  31 948,80,4,  5 299,  4 723,89,1,  5 461,  5 097,93,3,  28 992
Nazaré da Mata,  19 034,79,6,  2 918,  2 704,92,7,  3 496,  3 302,94,5,  17 511
Olinda,  277 685,91,1,  34 453,  32 588,94,6,  38 061,  36 658,96,3,  232 181
Orobó,  11 646,66,5,  2 901,  2 458,84,7,  2 685,  2 379,88,6,  11 927
Orocó,  5 607,69,3,  1 369,  1 049,76,6,  1 358,  1 167,85,9,  5 361
Ouricuri,  27 401,63,8,  7 359,  5 487,74,6,  6 458,  5 400,83,6,  29 146
Palmares,  33 161,76,0,  6 623,  5 818,87,8,  6 517,  5 862,89,9,  30 482
Palmeirina,  4 451,59,9,  1 167,920,78,8,  1 099,929,84,5,  5 170
Panelas,  11 444,57,7,  3 204,  2 586,80,7,  3 235,  2 659,82,2,  13 384
Paranatama,  4 985,58,7,  1 405,  1 139,81,1,  1 172,950,81,1,  5 914
Parnamirim,  11 260,75,6,  2 429,  2 086,85,9,  2 192,  2 023,92,3,  10 265
Passira,  15 441,66,5,  3 415,  2 974,87,1,  3 541,  3 218,90,9,  16 278
Paudalho,  26 268,74,9,  5 058,  4 234,83,7,  4 968,  4 353,87,6,  25 043
Paulista,  201 043,92,8,  25 283,  24 205,95,7,  27 620,  26 909,97,4,  163 844
Pedra,  9 564,61,0,  2 479,  1 733,69,9,  2 200,  1 727,78,5,  11 012
Pesqueira,  33 227,72,2,  6 325,  5 176,81,8,  6 060,  5 413,89,3,  33 650
Petrolândia,  16 876,79,7,  3 493,  2 970,85,0,  3 271,  3 038,92,9,  14 399
Petrolina,  143 565,84,5,  24 388,  21 931,89,9,  24 532,  23 205,94,6,  120 951
Poção,  5 463,63,1,  1 320,984,74,5,  1 083,926,85,5,  6 257
Pombos,  12 572,66,3,  2 810,  2 205,78,5,  2 878,  2 540,88,3,  13 264
Primavera,  6 188,70,1,  1 359,  1 214,89,3,  1 371,  1 210,88,3,  6 098
Quipapá,  10 777,60,9,  3 195,  2 597,81,3,  3 014,  2 484,82,4,  11 485
Quixaba,  3 699,70,5,944,857,90,8,843,786,93,2,  3 459
Recife, 1 074 022,90,8,  132 779,  124 612,93,8,  145 529,  140 254,96,4,  905 136
Riacho das Almas,  8 974,62,2,  2 029,  1 729,85,2,  1 894,  1 625,85,8,  10 500
Ribeirão,  22 728,69,4,  4 609,  3 822,82,9,  5 022,  4 350,86,6,  23 136
Rio Formoso,  10 885,68,6,  2 629,  1 958,74,5,  2 697,  2 236,82,9,  10 543
Sairé,  6 894,63,7,  1 407,  1 246,88,6,  1 415,  1 246,88,1,  8 002
Salgadinho,  3 447,59,5,835,621,74,4,  1 025,823,80,3,  3 933
Salgueiro,  32 511,80,0,  6 212,  5 544,89,2,  5 890,  5 543,94,1,  28 525
Saloá,  7 172,61,0,  1 686,  1 335,79,2,  1 635,  1 271,77,7,  8 445
Sanharó,  8 364,67,1,  1 652,  1 302,78,8,  1 768,  1 486,84,0,  9 053
Santa Cruz,  5 067,59,3,  1 388,  1 035,74,6,  1 219,  1 069,87,7,  5 944
Santa Cruz da Baixa Verde,  6 609,76,0,  1 374,  1 270,92,4,  1 309,  1 223,93,4,  6 011
Santa Cruz do Capibaribe,  35 806,77,2,  6 187,  5 168,83,5,  7 038,  6 232,88,5,  33 178
Santa Filomena,  5 868,63,9,  1 539,  1 220,79,3,  1 416,  1 231,86,9,  6 230
Santa Maria da Boa Vista,  20 211,73,5,  4 961,  4 003,80,7,  4 554,  4 111,90,3,  17 983
Santa Maria do Cambucá,  5 482,60,5,  1 382,  1 122,81,2,  1 361,  1 129,83,0,  6 314
Santa Terezinha,  5 720,70,6,  1 308,  1 119,85,6,  1 295,  1 151,88,9,  5 503
São Benedito do Sul,  4 715,59,1,  1 333,  1 191,89,3,  1 284,  1 062,82,7,  5 357
São Bento do Una,  22 697,65,3,  5 615,  4 450,79,3,  5 224,  4 468,85,5,  23 937
São Caitano,  16 280,62,5,  3 847,  2 934,76,3,  3 665,  2 950,80,5,  18 546
São João,  9 714,63,1,  2 382,  1 963,82,4,  2 299,  1 927,83,8,  10 713
São Joaquim do Monte,  9 067,58,5,  2 317,  1 868,80,6,  2 208,  1 863,84,4,  10 967
São José da Coroa Grande,  7 394,70,1,  1 699,  1 333,78,5,  1 787,  1 408,78,8,  7 068
São José do Belmonte,  17 251,69,8,  4 214,  3 524,83,6,  3 717,  3 192,85,9,  16 775
São José do Egito,  17 519,73,6,  3 376,  3 022,89,5,  3 157,  2 950,93,4,  17 267
São Lourenço da Mata,  58 324,80,8,  9 946,  8 781,88,3,  10 283,  9 555,92,9,  51 913
São Vicente Ferrer,  8 011,66,2,  1 932,  1 665,86,2,  1 963,  1 677,85,4,  8 200
Serra Talhada,  42 991,75,9,  8 432,  7 369,87,4,  7 873,  7 076,89,9,  40 354
Serrita,  9 690,71,6,  2 319,  2 067,89,1,  2 028,  1 840,90,7,  9 181
Sertânia,  17 644,69,3,  3 794,  3 270,86,2,  3 601,  3 172,88,1,  18 048
Sirinhaém,  17 635,70,2,  4 129,  3 413,82,7,  4 228,  3 591,84,9,  16 756
Solidão,  2 735,64,8,739,607,82,1,710,621,87,5,  2 771
Surubim,  28 824,71,2,  5 639,  4 900,86,9,  5 751,  5 043,87,7,  29 081
Tabira,  13 941,72,8,  2 809,  2 366,84,2,  2 715,  2 347,86,4,  13 620
Tacaimbó,  6 553,63,0,  1 742,  1 518,87,1,  1 572,  1 302,82,8,  7 091
Tacaratu,  8 988,68,7,  2 151,  1 798,83,6,  2 040,  1 735,85,0,  8 897
Tamandaré,  8 399,64,8,  2 143,  1 573,73,4,  2 114,  1 745,82,5,  8 713
Taquaritinga do Norte,  11 777,75,7,  2 214,  1 980,89,4,  2 073,  1 827,88,1,  11 267
Terezinha,  2 909,59,1,811,637,78,5,703,571,81,2,  3 411
Terra Nova,  4 397,74,3,837,743,88,8,871,775,89,0,  4 210
Timbaúba,  33 935,75,6,  6 353,  5 534,87,1,  6 687,  5 968,89,2,  31 843
Toritama,  11 970,71,3,  2 414,  2 106,87,2,  2 552,  2 091,81,9,  11 828
Tracunhaém,  6 811,68,8,  1 490,  1 261,84,6,  1 553,  1 400,90,1,  6 854
Trindade,  11 418,68,9,  2 821,  2 343,83,1,  2 549,  2 150,84,3,  11 191
Triunfo,  10 131,81,8,  1 889,  1 816,96,1,  1 723,  1 640,95,2,  8 771
Tupanatinga,  8 265,53,9,  2 850,  2 063,72,4,  2 396,  1 745,72,8,  10 094
Tuparetama,  4 735,74,5,935,865,92,5,877,815,92,9,  4 546
Venturosa,  7 193,67,4,  1 662,  1 349,81,2,  1 564,  1 355,86,6,  7 447
Verdejante,  4 873,71,7,  1 138,996,87,5,953,894,93,8,  4 710
Vertente do Lério,  4 122,62,4,  1 173,  1 000,85,3,  1 032,913,88,5,  4 403
Vertentes,  7 900,65,9,  1 702,  1 401,82,3,  1 651,  1 332,80,7,  8 643
Vicência,  16 349,73,7,  3 539,  3 290,93,0,  3 722,  3 447,92,6,  14 932
Vitória de Santo Antão,  71 411,75,6,  12 614,  11 011,87,3,  13 650,  12 248,89,7,  68 230
Xexéu,  6 085,60,3,  1 785,  1 384,77,5,  1 629,  1 243,76,3,  6 675
