"municipios	domicilios_particulares_permanentes_rurais_com_agua_canalizada_pela_rede_geral_total	domicilios_particulares_permanentes_rurais_com_agua_canalizada_pela_rede_geral_em_pelo_menos_um_comodo	domicilios_particulares_permanentes_rurais_com_agua_canalizada_pela_rede_geral_so_na_propriedade_ou_terreno	domicilios_particulares_permanentes_rurais_com_agua_canalizada_por_poco_ou_nascente_total	domicilios_particulares_permanentes_rurais_com_agua_canalizada_por_poco_ou_nascente_em_pelo_menos_um_comodo	domicilios_particulares_permanentes_rurais_com_agua_canalizada_por_poco_ou_nascente_so_na_propriedade_ou_terreno	domicilios_particulares_permanentes_rurais_com_agua_nao_canalizada_por_poco_ou_nascente_	domicilios_particulares_permanentes_rurais_com_outra_forma_de_abastecimento_de_agua"
"Calumbi	31,1	8,7	22,4	31,6	12,1	4,4	15,1	37,3"
"Camaragibe	-	-	-	-	-	-	-	-"
"Camocim de São Félix	7,5	5,5	2	43,1	8,1	5,6	29,4	49,4"
"Camutanga	17,9	17,9	0	66,3	1,6	1,1	63,7	15,8"
"Canhotinho	8	2,5	5,5	56,2	11,4	4,7	40	35,8"
"Capoeiras	5,9	5,7	0,2	1,5	0,2	0,1	1,2	92,6"
"Carnaíba	11,3	9,8	1,5	37,6	2,9	0,9	33,8	51,1"
"Carnaubeira da Penha	2,1	2	0,2	59,1	1,3	3	54,8	38,8"
"Carpina	11,9	8,1	3,8	63,7	0,3	5	58,4	24,4"
"Caruaru	32,2	24	8,3	15,7	2,7	0,9	12,2	52"
"Casinhas	7,2	2,9	4,3	37,4	1,3	0,7	35,3	55,5"
"Catende	11,5	9,7	1,8	59,5	1,8	4,4	53,2	29"
"Cedro	16,1	9,5	6,6	39,2	12,3	3,3	23,5	44,7"
"Chã de Alegria	22,2	12,2	10	38	7,5	11,6	18,9	39,8"
"Chã Grande	9,8	3,8	6	72,5	19,8	4,2	48,5	17,7"
"Condado	11,9	4,8	7,1	48,5	7,7	5,7	35,1	39,6"
"Correntes	24,1	18	6,1	63,5	17,6	3,9	41,9	12,4"
"Cortês	37,6	34,5	3,1	56,7	5,7	4,3	46,8	5,7"
"Cumaru	0,3	0,2	0,1	20,1	0,1	0,2	19,8	79,5"
"Cupira	5,3	4,8	0,5	31,7	5,1	6,9	19,7	63"
"Custódia	5	5	0,1	44,4	7,4	1,8	35,2	50,6"
"Dormentes	10,2	5,7	4,5	6,4	0	0	6,3	83,4"
"Escada	5,3	4	1,2	55,4	9,8	1,9	43,7	39,3"
"Exu	8	5	3,1	44,2	4	1,5	38,7	47,8"
"Feira Nova	9,8	3,2	6,6	33	2,8	5,9	24,3	57,2"
"Fernando de Noronha	-	-	-	-	-	-	-	-"
"Ferreiros	4,3	4,3	0	62,5	4,7	5,6	52,2	33,2"
"Flores	1,9	1,8	0,1	52	6,2	2,4	43,4	46,1"
"Floresta	5,8	2,6	3,2	42,6	0,4	1,2	41,1	51,6"
"Frei Miguelinho	0,1	0,1	0	3,2	0,3	0	2,9	96,6"
"Gameleira	4,1	3,5	0,5	66,8	3,1	2,5	61,3	29,1"
"Garanhuns	10,1	7,3	2,9	42,3	12,6	2,3	27,3	47,6"
"Glória do Goitá	11,2	8,3	2,9	18	2,2	1,2	14,6	70,8"
"Goiana	25,2	15,5	9,8	32,2	15,2	4,7	12,3	42,5"
"Granito	22,8	14,3	8,5	7	0,8	1	5,3	70,2"
"Gravatá	7,8	4,4	3,4	32,8	6,6	1,1	25,1	59,3"
"Iati	15,6	5,3	10,3	8,6	0,3	0,3	8,1	75,8"
"Ibimirim	21,2	6,3	14,9	15,3	3,9	3,1	8,3	63,5"
"Ibirajuba	14,7	11,6	3,1	20,5	0,7	0,4	19,3	64,8"
"Igarassu	11,5	8,9	2,6	71,3	30,2	14,8	26,2	17,2"
"Iguaraci	5,8	5,1	0,7	39,8	4,3	0,9	34,5	54,4"
"Ilha de Itamaracá	24,2	12,3	12	47,2	18,4	0,3	28,5	28,5"
"Inajá	17,5	9,8	7,7	11,5	1,3	2,9	7,4	70,9"
"Ingazeira	0,2	0,2	0	23,3	11,8	3,5	8	76,5"
"Ipojuca	14,8	8,1	6,7	52,3	5,6	2,6	44	32,9"
"Ipubi	0,3	0,2	0,1	12,1	0,8	0,3	11,1	87,6"
"Itacuruba	16	4,3	11,7	11,7	1,1	0	10,6	72,3"
"Itaíba	2,1	0,8	1,3	11,3	0,3	0,1	10,9	86,6"
"Itambé	4,7	3,3	1,4	53,6	5,6	3,7	44,4	41,7"
"Itapetim	9,3	4,1	5,2	29,7	1,7	0,3	27,7	61,1"
"Itapissuma	85,8	45,5	40,2	11,4	3,8	1,1	6,4	2,8"
"Itaquitinga	10,1	2	8	22,7	0,9	16,5	5,3	67,3"
"Jaboatão dos Guararapes	7,3	3,9	3,4	45,6	13,9	1,5	30,2	47,1"
"Jaqueira	15	13,2	1,8	45,3	4,4	8,2	32,6	39,7"
"Jataúba	0,1	0,1	0	51,3	1,3	0,5	49,5	48,6"
"Jatobá	69	59,5	9,5	1,7	0,2	0,1	1,4	29,3"
"João Alfredo	1	0,5	0,5	37,2	1,8	0,8	34,5	61,8"
"Joaquim Nabuco	14,6	12,4	2,2	39,5	19,2	2,8	17,4	46"
"Jucati	20,3	17,9	2,4	37,3	2,6	1,2	33,5	42,5"
"Jupi	0,1	0,1	0,1	37,6	4,1	1,7	31,8	62,3"
"Jurema	5,7	5,3	0,4	43,3	3,1	2,3	37,9	50,9"
"Lagoa do Carro	6,3	5,3	1	63	15,5	13,2	34,3	30,6"
"Lagoa do Itaenga	0,7	0,1	0,6	64,1	17,2	16,1	30,8	35,1"
"Lagoa do Ouro	35,2	22,3	12,9	27,3	1,8	1,5	24	37,5"
"Lagoa dos Gatos	9,4	9	0,4	34,4	6,5	3,2	24,8	56,1"
"Lagoa Grande	51,9	24,9	27	20	0,2	0,6	19,2	28,1"
"Lajedo	23,4	13,3	10,1	17,8	0,3	1	16,5	58,8"
"Limoeiro	8,8	5,5	3,3	46,2	7,3	4,8	34,1	45"
"Macaparana	34,2	20,9	13,3	56,3	7	7,7	41,6	9,5"
"Machados	17,4	9,4	8,1	53,9	10,1	2,6	41,3	28,6"
"Manari	0,3	0,2	0,1	1,9	0	0	1,8	97,9"
"Maraial	7,1	6,6	0,5	83	9,6	6,9	66,5	9,8"
"Mirandiba	23,9	9,8	14,1	26,7	1,8	0,6	24,3	49,4"
"Moreilândia	1,1	0,8	0,3	38,5	2,9	0,7	35	60,4"
"Moreno	33,8	29	4,7	60,6	5,7	1,1	53,8	5,6"
"Nazaré da Mata	1,1	0,9	0,2	57	8	6,7	42,3	41,9"
"Olinda	55,1	32,8	22,3	28,7	13,4	3,9	11,4	16,2"
"Orobó	11,2	8,8	2,3	41,5	6,2	1,9	33,4	47,4"
"Orocó	51,4	17,7	33,7	22,1	0,1	1,2	20,8	26,5"
"Ouricuri	2,6	1,2	1,4	9,9	0,4	0,3	9,2	87,5"
"Palmares	8,9	8,8	0,1	68,8	5,5	10,2	53,2	22,2"
"Palmeirina	5,4	5	0,4	79,6	31,5	13,6	34,5	15"
"Panelas	4,8	4,5	0,3	64,7	2,8	0,8	61	30,5"
"Paranatama	12,2	8	4,3	9,3	3,5	2,4	3,5	78,4"
"Parnamirim	7,9	6,6	1,3	64,8	3,9	0,5	60,3	27,3"
"Passira	7,5	3	4,5	15	1,5	1,3	12,2	77,5"
"Paudalho	36,8	22,1	14,7	36,7	14,7	9,4	12,6	26,4"
"Paulista	-	-	-	-	-	-	-	-"
"Pedra	2,9	2	0,9	54,9	8	1,7	45,2	42,2"
"Pesqueira	5,5	4,9	0,7	44,3	4,4	5,8	34,1	50,2"
"Petrolândia	71,5	41,7	29,7	3,1	1,3	0,4	1,4	25,4"
"Petrolina	50,1	33,2	16,8	9,7	0,6	0,6	8,5	40,2"
"Poção	2,4	1,2	1,2	30	0,7	0,2	29,1	67,7"
"Pombos	0,7	0,6	0,1	55,5	7	2,1	46,3	43,9"
"Primavera	0,2	0,1	0,1	84,6	12,6	7,9	64,1	15,2"
"Quipapá	20,6	13,3	7,3	63,6	4,6	1,7	57,3	15,8"
"Quixaba	5,7	5,7	0	32,1	1,9	0,8	29,4	62,2"
"Recife	-	-	-	-	-	-	-	-"
"Riacho das Almas	0,1	0,1	0	5,9	0,4	0,1	5,4	94"
"Ribeirão	22	18,7	3,3	61,8	10,3	5,8	45,7	16,2"
"Rio Formoso	17,1	12,7	4,4	48,7	7,6	4,5	36,6	34,2"
"Sairé	4,9	4,6	0,3	73,8	17,1	5,1	51,6	21,4"
"Salgadinho	1	0,6	0,4	31,2	0,5	0,6	30,2	67,8"
"Salgueiro	39,8	18	21,9	17,3	1,4	4	11,9	42,9"
"Saloá	12,8	7,5	5,4	24,8	10,6	4,6	9,6	62,4"
"Sanharó	42,1	33,4	8,7	15,6	0,3	0,3	15	42,2"
"Santa Cruz	1,8	1,4	0,4	37,9	2,2	2,7	33	60,3"
"Santa Cruz da Baixa Verde	9,2	9,1	0,1	30,7	9,6	1,9	19,2	60,2"
"Santa Cruz do Capibaribe	3,2	3,2	0	56,3	5	0,6	50,7	40,5"
"Santa Filomena	17	11,6	5,4	26,5	0	0,2	26,2	56,6"
"Santa Maria da Boa Vista	67,7	25,8	41,9	4,9	0,2	0,6	4,1	27,4"
"Santa Maria do Cambucá	0,1	0	0,1	50,1	2,3	0,3	47,6	49,8"
"Santa Terezinha	8,4	8,4	0	17,7	1,1	0,3	16,3	73,9"
"São Benedito do Sul	1,5	0,9	0,6	92,1	5,1	6,9	80,2	6,3"
"São Bento do Una	22,2	11,4	10,8	21,3	0,7	0,4	20,2	56,5"
"São Caitano	3,8	3,1	0,7	37,1	1,7	0,5	34,8	59,1"
"São João	25	14,6	10,4	18,8	3,8	1,3	13,7	56,3"
"São Joaquim do Monte	9,8	4,2	5,6	42,6	7,5	3,1	32,1	47,6"
"São José da Coroa Grande	1,1	0,8	0,3	66,5	13,7	8,3	44,5	32,4"
"São José do Belmonte	7,7	2,8	5	35,7	4,7	4,1	26,9	56,6"
"São José do Egito	7,2	6,9	0,3	46,3	5,5	2,9	37,9	46,5"
"São Lourenço da Mata	3,4	2,7	0,7	52,2	8,9	2,7	40,6	44,4"
"São Vicente Ferrer	1	0,6	0,4	70	17,9	4,6	47,5	29"
"Serra Talhada	0,7	0,5	0,2	51,4	5,1	2,3	44	47,8"
"Serrita	18,4	13,5	4,9	22,9	3,9	3,8	15,1	58,7"
"Sertânia	4,1	2,4	1,7	28,3	7,5	0,9	20	67,6"
"Sirinhaém	28,5	26,7	1,7	56,8	6,6	3,8	46,4	14,7"
"Solidão	11,1	11,1	0	58,4	2,1	0,9	55,4	30,5"
"Surubim	12,9	7,6	5,4	24,2	0,1	0,1	24	62,9"
"Tabira	7,8	5,3	2,5	25,7	0,8	0,8	24	66,5"
"Tacaimbó	0,5	0,5	0	18,2	0,2	0,6	17,4	81,3"
"Tacaratu	15,1	10,8	4,3	22,1	4,4	2,5	15,1	62,8"
"Tamandaré	1,1	1	0,2	55,9	0,4	0,6	54,8	43"
"Taquaritinga do Norte	0,8	0,6	0,2	33,8	7,2	3,8	22,9	65,4"
"Terezinha	0,3	0,3	0	80,8	6,6	1,5	72,6	18,9"
"Terra Nova	58,8	39,6	19,2	2,9	0	0	2,9	38,3"
"Timbaúba	14,5	7,1	7,4	30,1	2,7	0,9	26,6	55,4"
"Toritama	3,3	3	0,3	5	0,5	0	4,5	91,7"
"Tracunhaém	1,7	1,3	0,4	97,4	12,2	6,6	78,6	0,9"
"Trindade	0,2	0,1	0,1	21,4	0,6	0,2	20,5	78,4"
"Triunfo	4,4	3,6	0,8	55,3	21	6	28,4	40,4"
"Tupanatinga	8,1	4,1	4	6,3	0,5	0,3	5,5	85,6"
"Tuparetama	4,1	4,1	0	77,4	15,1	4,6	57,8	18,4"
"Venturosa	0,9	0,5	0,3	28,5	5,9	0,2	22,4	70,6"
"Verdejante	51,1	30,4	20,6	23,4	0,8	0,5	22	25,6"
"Vertente do Lério	3,4	0,4	3,1	3,7	0,3	0,2	3,2	92,9"
"Vertentes	2,5	0,9	1,6	13,2	1,1	0,8	11,2	84,4"
"Vicência	44,6	34,2	10,4	50,6	7,6	6,7	36,4	4,8"
"Vitória de Santo Antão	4,6	4,3	0,3	81,4	12,7	6,8	61,9	14,1"
"Xexéu	28,4	25,4	3	39	4,4	5,1	29,5	32,6"
